id,count,x,y,vul_resource
268,2,129.485,35.63693,0
269,4,129.495,35.63693,0
270,2,129.505,35.63693,0
271,7,129.515,35.63693,0
272,18,129.525,35.63693,0
273,18,129.535,35.63693,0
274,20,129.545,35.63693,0
275,22,129.555,35.63693,0
276,17,129.565,35.63693,0
277,11,129.575,35.63693,0
278,12,129.585,35.63693,0
279,14,129.595,35.63693,0
280,10,129.605,35.63693,0
281,8,129.615,35.63693,0
282,8,129.625,35.63693,0
283,5,129.635,35.63693,0
284,4,129.645,35.63693,0
285,4,129.655,35.63693,0
286,1,129.665,35.63693,0
287,3,129.675,35.63693,0
288,4,129.685,35.63693,0
289,2,129.695,35.63693,0
290,2,129.705,35.63693,0
291,1,129.715,35.63693,0
292,2,129.725,35.63693,0
293,2,129.735,35.63693,0
294,1,129.745,35.63693,0
295,1,129.755,35.63693,0
296,2,129.765,35.63693,0
297,1,129.775,35.63693,0
298,0,129.785,35.63693,0
299,1,129.795,35.63693,0
300,0,129.805,35.63693,0
301,1,129.815,35.63693,0
302,0,129.825,35.63693,0
303,0,129.835,35.63693,0
304,1,129.845,35.63693,0
305,1,129.855,35.63693,0
306,1,129.865,35.63693,0
307,0,129.875,35.63693,0
308,1,129.885,35.63693,0
309,0,129.895,35.63693,0
310,1,129.905,35.63693,0
311,1,129.915,35.63693,0
312,1,129.925,35.63693,0
313,0,129.935,35.63693,0
314,0,129.945,35.63693,0
315,1,129.955,35.63693,0
16770,8,128.755,34.78693,0
16771,12,128.765,34.78693,0
16772,16,128.775,34.78693,0
16773,18,128.785,34.78693,0
16774,14,128.795,34.78693,0
16775,14,128.805,34.78693,0
16776,12,128.815,34.78693,0
16777,12,128.825,34.78693,0
16778,14,128.835,34.78693,0
16779,14,128.845,34.78693,0
16780,14,128.855,34.78693,0
16781,16,128.865,34.78693,0
16782,17,128.875,34.78693,0
16783,14,128.885,34.78693,0
16784,20,128.895,34.78693,0
16785,20,128.905,34.78693,0
16786,19,128.915,34.78693,0
16787,19,128.925,34.78693,0
16788,24,128.935,34.78693,0
16789,25,128.945,34.78693,0
16790,24,128.955,34.78693,0
16791,26,128.965,34.78693,0
16792,23,128.975,34.78693,0
16793,14,128.985,34.78693,0
16794,18,128.995,34.78693,0
16795,16,129.005,34.78693,0
16796,15,129.015,34.78693,0
16797,16,129.025,34.78693,0
16798,12,129.035,34.78693,0
16799,9,129.045,34.78693,0
16800,11,129.055,34.78693,0
16801,10,129.065,34.78693,0
16802,7,129.075,34.78693,0
16803,4,129.085,34.78693,0
16804,6,129.095,34.78693,0
16805,7,129.105,34.78693,0
16806,10,129.115,34.78693,0
16807,8,129.125,34.78693,0
16808,10,129.135,34.78693,0
16809,8,129.145,34.78693,0
16810,6,129.155,34.78693,0
16811,8,129.165,34.78693,0
16812,6,129.175,34.78693,0
16813,4,129.185,34.78693,0
16814,6,129.195,34.78693,0
459,0,129.445,35.62693,1
460,0,129.455,35.62693,1
461,1,129.465,35.62693,1
462,2,129.475,35.62693,0
463,3,129.485,35.62693,0
464,4,129.495,35.62693,0
465,4,129.505,35.62693,0
466,12,129.515,35.62693,0
467,18,129.525,35.62693,0
468,18,129.535,35.62693,0
469,19,129.545,35.62693,0
470,19,129.555,35.62693,0
471,15,129.565,35.62693,0
472,10,129.575,35.62693,0
473,12,129.585,35.62693,0
474,13,129.595,35.62693,0
475,9,129.605,35.62693,0
476,6,129.615,35.62693,0
477,6,129.625,35.62693,0
478,5,129.635,35.62693,0
479,5,129.645,35.62693,0
480,3,129.655,35.62693,0
481,1,129.665,35.62693,0
482,3,129.675,35.62693,0
483,2,129.685,35.62693,0
484,2,129.695,35.62693,0
485,1,129.705,35.62693,0
486,1,129.715,35.62693,0
487,3,129.725,35.62693,0
488,3,129.735,35.62693,0
489,0,129.745,35.62693,0
490,1,129.755,35.62693,0
491,1,129.765,35.62693,0
